state,site_count,avg_avg_daily_load_kW,avg_load_factor,avg_hvac_fraction,avg_day_vs_night_ratio,avg_seasonal_std,avg_weekend_vs_weekday_ratio,avg_hvac/temperature regression summer coef,avg_hvac/temperature regression winter coef,avg_hvac regression summer R-squared,avg_hvac regression winter R-squared
MT,8,1.7354543194748409,0.42724734142797766,0.3676171313799099,1.1165404556071739,0.6106026196655456,2.3922821153637353,0.013763249019991337,-0.05768120105411103,0.163135463295071,0.821141019451795
ID,62,1.4106485106709923,0.35375276129361616,0.36997873226445255,1.1842481092943271,0.6090263811020578,2.4821124403249253,0.013763249019991338,-0.05768120105411104,0.16313546329507095,0.8211410194517947
OR,87,1.2060468154109676,0.337345378124563,0.37936239573848235,1.18949224620531,0.410528138200608,2.3656829904112597,0.01376324901999133,-0.057681201054111,0.16313546329507095,0.8211410194517954
WA,86,1.6146202589140477,0.3667701886084865,0.3327019572830269,1.229591123117609,0.5759958576787211,2.4744308670468933,0.013763249019991331,-0.057681201054111,0.16313546329507095,0.8211410194517953
